code,system
87902006,snomedct
33183004,snomedct
417626001,snomedct
302873008,snomedct
111588002,snomedct
402654005,snomedct
441511006,snomedct
49341000119108,snomedct
191322006,snomedct
13172003,snomedct
36070007,snomedct
32273002,snomedct
371106008,snomedct
28505005,snomedct
2897005,snomedct
438476003,snomedct
128091003,snomedct
78345002,snomedct
866152006,snomedct
191323001,snomedct
78129009,snomedct
D69.6,snomedct
D69.3,snomedct
19307009,snomedct
73397007,snomedct
441322009,snomedct
438492008,snomedct
783251006,snomedct
439007008,snomedct
74576004,snomedct
402653004,snomedct
82190001,snomedct
267534000,snomedct
D69.4,snomedct
726769004,snomedct
154826009,snomedct
D69.5,snomedct
M31.1,snomedct